t-2,t-1,t-0,t+1 (prediction)
12150.0,12150.0,12100.0,12250.0
12150.0,12100.0,12250.0,13100.0
12100.0,12250.0,13100.0,12650.0
12250.0,13100.0,12650.0,12750.0
13100.0,12650.0,12750.0,12500.0
12650.0,12750.0,12500.0,12700.0
12750.0,12500.0,12700.0,12800.0
12500.0,12700.0,12800.0,12900.0
12700.0,12800.0,12900.0,13000.0
12800.0,12900.0,13000.0,13650.0
12900.0,13000.0,13650.0,13450.0
13000.0,13650.0,13450.0,13500.0
13650.0,13450.0,13500.0,13400.0
13450.0,13500.0,13400.0,12950.0
13500.0,13400.0,12950.0,13200.0
13400.0,12950.0,13200.0,12950.0
12950.0,13200.0,12950.0,12850.0
13200.0,12950.0,12850.0,12850.0
12950.0,12850.0,12850.0,12950.0
12850.0,12850.0,12950.0,12950.0
12850.0,12950.0,12950.0,13050.0
12950.0,12950.0,13050.0,13000.0
12950.0,13050.0,13000.0,13150.0
13050.0,13000.0,13150.0,13000.0
13000.0,13150.0,13000.0,13100.0
13150.0,13000.0,13100.0,13000.0
13000.0,13100.0,13000.0,13100.0
13100.0,13000.0,13100.0,13200.0
13000.0,13100.0,13200.0,13500.0
13100.0,13200.0,13500.0,13750.0
13200.0,13500.0,13750.0,13750.0
13500.0,13750.0,13750.0,13200.0
13750.0,13750.0,13200.0,12900.0
13750.0,13200.0,12900.0,12850.0
13200.0,12900.0,12850.0,12900.0
12900.0,12850.0,12900.0,12950.0
12850.0,12900.0,12950.0,12550.0
12900.0,12950.0,12550.0,12550.0
12950.0,12550.0,12550.0,12400.0
12550.0,12550.0,12400.0,12300.0
12550.0,12400.0,12300.0,12300.0
12400.0,12300.0,12300.0,12250.0
12300.0,12300.0,12250.0,12600.0
12300.0,12250.0,12600.0,12100.0
12250.0,12600.0,12100.0,12250.0
12600.0,12100.0,12250.0,12350.0
12100.0,12250.0,12350.0,12200.0
12250.0,12350.0,12200.0,11850.0
12350.0,12200.0,11850.0,11650.0
12200.0,11850.0,11650.0,11650.0
11850.0,11650.0,11650.0,12200.0
11650.0,11650.0,12200.0,11950.0
11650.0,12200.0,11950.0,11950.0
12200.0,11950.0,11950.0,11950.0
11950.0,11950.0,11950.0,12150.0
11950.0,11950.0,12150.0,12250.0
11950.0,12150.0,12250.0,12550.0
12150.0,12250.0,12550.0,12400.0
12250.0,12550.0,12400.0,11950.0
12550.0,12400.0,11950.0,12200.0
12400.0,11950.0,12200.0,12300.0
11950.0,12200.0,12300.0,12200.0
12200.0,12300.0,12200.0,12200.0
12300.0,12200.0,12200.0,12400.0
12200.0,12200.0,12400.0,12300.0
12200.0,12400.0,12300.0,12250.0
12400.0,12300.0,12250.0,11800.0
12300.0,12250.0,11800.0,11750.0
12250.0,11800.0,11750.0,11400.0
11800.0,11750.0,11400.0,10850.0
11750.0,11400.0,10850.0,10300.0
11400.0,10850.0,10300.0,10600.0
10850.0,10300.0,10600.0,10800.0
10300.0,10600.0,10800.0,10900.0
10600.0,10800.0,10900.0,10650.0
10800.0,10900.0,10650.0,10650.0
10900.0,10650.0,10650.0,10400.0
10650.0,10650.0,10400.0,10150.0
10650.0,10400.0,10150.0,10000.0
10400.0,10150.0,10000.0,10050.0
10150.0,10000.0,10050.0,9950.0
10000.0,10050.0,9950.0,9700.0
10050.0,9950.0,9700.0,9500.0
9950.0,9700.0,9500.0,9800.0
9700.0,9500.0,9800.0,9250.0
9500.0,9800.0,9250.0,9250.0
9800.0,9250.0,9250.0,9250.0
9250.0,9250.0,9250.0,9350.0
9250.0,9250.0,9350.0,9350.0
9250.0,9350.0,9350.0,9500.0
9350.0,9350.0,9500.0,9400.0
9350.0,9500.0,9400.0,9600.0
9500.0,9400.0,9600.0,9500.0
9400.0,9600.0,9500.0,9550.0
9600.0,9500.0,9550.0,9500.0
9500.0,9550.0,9500.0,9400.0
9550.0,9500.0,9400.0,9450.0
9500.0,9400.0,9450.0,9250.0
9400.0,9450.0,9250.0,9700.0
9450.0,9250.0,9700.0,9600.0
9250.0,9700.0,9600.0,9100.0
9700.0,9600.0,9100.0,9150.0
9600.0,9100.0,9150.0,9100.0
9100.0,9150.0,9100.0,9100.0
9150.0,9100.0,9100.0,8900.0
9100.0,9100.0,8900.0,8850.0
9100.0,8900.0,8850.0,8800.0
8900.0,8850.0,8800.0,8800.0
8850.0,8800.0,8800.0,8850.0
8800.0,8800.0,8850.0,8600.0
8800.0,8850.0,8600.0,8250.0
8850.0,8600.0,8250.0,8050.0
8600.0,8250.0,8050.0,8150.0
8250.0,8050.0,8150.0,8550.0
8050.0,8150.0,8550.0,8600.0
8150.0,8550.0,8600.0,8700.0
8550.0,8600.0,8700.0,8500.0
8600.0,8700.0,8500.0,8500.0
8700.0,8500.0,8500.0,8500.0
8500.0,8500.0,8500.0,8300.0
8500.0,8500.0,8300.0,8400.0
8500.0,8300.0,8400.0,8400.0
8300.0,8400.0,8400.0,8500.0
8400.0,8400.0,8500.0,8400.0
8400.0,8500.0,8400.0,8300.0
8500.0,8400.0,8300.0,8100.0
8400.0,8300.0,8100.0,8100.0
8300.0,8100.0,8100.0,8400.0
8100.0,8100.0,8400.0,8500.0
8100.0,8400.0,8500.0,8400.0
8400.0,8500.0,8400.0,8300.0
8500.0,8400.0,8300.0,8300.0
8400.0,8300.0,8300.0,8250.0
8300.0,8300.0,8250.0,8150.0
8300.0,8250.0,8150.0,8150.0
8250.0,8150.0,8150.0,8150.0
8150.0,8150.0,8150.0,8150.0
8150.0,8150.0,8150.0,8100.0
8150.0,8150.0,8100.0,8200.0
8150.0,8100.0,8200.0,8150.0
8100.0,8200.0,8150.0,8150.0
8200.0,8150.0,8150.0,8150.0
8150.0,8150.0,8150.0,8200.0
8150.0,8150.0,8200.0,8300.0
8150.0,8200.0,8300.0,8650.0
8200.0,8300.0,8650.0,8650.0
8300.0,8650.0,8650.0,8350.0
8650.0,8650.0,8350.0,8300.0
8650.0,8350.0,8300.0,8250.0
8350.0,8300.0,8250.0,8350.0
8300.0,8250.0,8350.0,8450.0
8250.0,8350.0,8450.0,8600.0
8350.0,8450.0,8600.0,9000.0
8450.0,8600.0,9000.0,9800.0
8600.0,9000.0,9800.0,11000.0
9000.0,9800.0,11000.0,10550.0
9800.0,11000.0,10550.0,10600.0
11000.0,10550.0,10600.0,10300.0
10550.0,10600.0,10300.0,10600.0
10600.0,10300.0,10600.0,10900.0
10300.0,10600.0,10900.0,10500.0
10600.0,10900.0,10500.0,10800.0
10900.0,10500.0,10800.0,10900.0
10500.0,10800.0,10900.0,11900.0
10800.0,10900.0,11900.0,12200.0
10900.0,11900.0,12200.0,11750.0
11900.0,12200.0,11750.0,11650.0
12200.0,11750.0,11650.0,11300.0
11750.0,11650.0,11300.0,11500.0
11650.0,11300.0,11500.0,11500.0
11300.0,11500.0,11500.0,11550.0
11500.0,11500.0,11550.0,11700.0
11500.0,11550.0,11700.0,11450.0
11550.0,11700.0,11450.0,10600.0
11700.0,11450.0,10600.0,10700.0
11450.0,10600.0,10700.0,10650.0
10600.0,10700.0,10650.0,10750.0
10700.0,10650.0,10750.0,10900.0
10650.0,10750.0,10900.0,10850.0
10750.0,10900.0,10850.0,11100.0
10900.0,10850.0,11100.0,11400.0
10850.0,11100.0,11400.0,11350.0
11100.0,11400.0,11350.0,11300.0
11400.0,11350.0,11300.0,11300.0
11350.0,11300.0,11300.0,11250.0
11300.0,11300.0,11250.0,11000.0
11300.0,11250.0,11000.0,10800.0
11250.0,11000.0,10800.0,11000.0
11000.0,10800.0,11000.0,10900.0
10800.0,11000.0,10900.0,10950.0
11000.0,10900.0,10950.0,11200.0
10900.0,10950.0,11200.0,11250.0
10950.0,11200.0,11250.0,11450.0
11200.0,11250.0,11450.0,11450.0
11250.0,11450.0,11450.0,11100.0
11450.0,11450.0,11100.0,11150.0
11450.0,11100.0,11150.0,11050.0
11100.0,11150.0,11050.0,11200.0
11150.0,11050.0,11200.0,11200.0
11050.0,11200.0,11200.0,11150.0
11200.0,11200.0,11150.0,11000.0
11200.0,11150.0,11000.0,11050.0
11150.0,11000.0,11050.0,11100.0
11000.0,11050.0,11100.0,11150.0
11050.0,11100.0,11150.0,11100.0
11100.0,11150.0,11100.0,11050.0
11150.0,11100.0,11050.0,11000.0
11100.0,11050.0,11000.0,10850.0
11050.0,11000.0,10850.0,10900.0
11000.0,10850.0,10900.0,11000.0
10850.0,10900.0,11000.0,10950.0
10900.0,11000.0,10950.0,10900.0
11000.0,10950.0,10900.0,10750.0
10950.0,10900.0,10750.0,10900.0
10900.0,10750.0,10900.0,11200.0
10750.0,10900.0,11200.0,11650.0
10900.0,11200.0,11650.0,11700.0
11200.0,11650.0,11700.0,12050.0
11650.0,11700.0,12050.0,11650.0
11700.0,12050.0,11650.0,11950.0
12050.0,11650.0,11950.0,11800.0
11650.0,11950.0,11800.0,11900.0
11950.0,11800.0,11900.0,11750.0
11800.0,11900.0,11750.0,11750.0
11900.0,11750.0,11750.0,11750.0
11750.0,11750.0,11750.0,11650.0
11750.0,11750.0,11650.0,11750.0
11750.0,11650.0,11750.0,11700.0
11650.0,11750.0,11700.0,11600.0
11750.0,11700.0,11600.0,11500.0
11700.0,11600.0,11500.0,11350.0
11600.0,11500.0,11350.0,11450.0
11500.0,11350.0,11450.0,11500.0
11350.0,11450.0,11500.0,11700.0
11450.0,11500.0,11700.0,11700.0
11500.0,11700.0,11700.0,11550.0
11700.0,11700.0,11550.0,11700.0
11700.0,11550.0,11700.0,11650.0
11550.0,11700.0,11650.0,11650.0
11700.0,11650.0,11650.0,11550.0
11650.0,11650.0,11550.0,11450.0
11650.0,11550.0,11450.0,11500.0
11550.0,11450.0,11500.0,11350.0
11450.0,11500.0,11350.0,11100.0
11500.0,11350.0,11100.0,11100.0
11350.0,11100.0,11100.0,10850.0
11100.0,11100.0,10850.0,10750.0
11100.0,10850.0,10750.0,10600.0
10850.0,10750.0,10600.0,10350.0
10750.0,10600.0,10350.0,10150.0
10600.0,10350.0,10150.0,10400.0
10350.0,10150.0,10400.0,10550.0
10150.0,10400.0,10550.0,10800.0
10400.0,10550.0,10800.0,10650.0
10550.0,10800.0,10650.0,10750.0
10800.0,10650.0,10750.0,10800.0
10650.0,10750.0,10800.0,10850.0
10750.0,10800.0,10850.0,10950.0
10800.0,10850.0,10950.0,10700.0
10850.0,10950.0,10700.0,10600.0
10950.0,10700.0,10600.0,10750.0
10700.0,10600.0,10750.0,10600.0
10600.0,10750.0,10600.0,10900.0
10750.0,10600.0,10900.0,11350.0
10600.0,10900.0,11350.0,11550.0
10900.0,11350.0,11550.0,11500.0
11350.0,11550.0,11500.0,11350.0
11550.0,11500.0,11350.0,11100.0
11500.0,11350.0,11100.0,11000.0
11350.0,11100.0,11000.0,10700.0
11100.0,11000.0,10700.0,10700.0
11000.0,10700.0,10700.0,10700.0
10700.0,10700.0,10700.0,10450.0
10700.0,10700.0,10450.0,10750.0
10700.0,10450.0,10750.0,10650.0
10450.0,10750.0,10650.0,10300.0
10750.0,10650.0,10300.0,9800.0
10650.0,10300.0,9800.0,9500.0
10300.0,9800.0,9500.0,9700.0
9800.0,9500.0,9700.0,9800.0
9500.0,9700.0,9800.0,9550.0
9700.0,9800.0,9550.0,9350.0
9800.0,9550.0,9350.0,9150.0
9550.0,9350.0,9150.0,9100.0
9350.0,9150.0,9100.0,9550.0
9150.0,9100.0,9550.0,9650.0
9100.0,9550.0,9650.0,9600.0
9550.0,9650.0,9600.0,9550.0
9650.0,9600.0,9550.0,9450.0
9600.0,9550.0,9450.0,9250.0
9550.0,9450.0,9250.0,8900.0
9450.0,9250.0,8900.0,9300.0
9250.0,8900.0,9300.0,9150.0
8900.0,9300.0,9150.0,9000.0
9300.0,9150.0,9000.0,9000.0
9150.0,9000.0,9000.0,9250.0
9000.0,9000.0,9250.0,9250.0
9000.0,9250.0,9250.0,9350.0
9250.0,9250.0,9350.0,9150.0
9250.0,9350.0,9150.0,9100.0
9350.0,9150.0,9100.0,8900.0
9150.0,9100.0,8900.0,9200.0
9100.0,8900.0,9200.0,9150.0
8900.0,9200.0,9150.0,9250.0
9200.0,9150.0,9250.0,9150.0
9150.0,9250.0,9150.0,9250.0
9250.0,9150.0,9250.0,9350.0
9150.0,9250.0,9350.0,9500.0
9250.0,9350.0,9500.0,9400.0
9350.0,9500.0,9400.0,9400.0
9500.0,9400.0,9400.0,9400.0
9400.0,9400.0,9400.0,9050.0
9400.0,9400.0,9050.0,9100.0
9400.0,9050.0,9100.0,8900.0
9050.0,9100.0,8900.0,8950.0
9100.0,8900.0,8950.0,8900.0
8900.0,8950.0,8900.0,8700.0
8950.0,8900.0,8700.0,8350.0
8900.0,8700.0,8350.0,8400.0
8700.0,8350.0,8400.0,8450.0
8350.0,8400.0,8450.0,8450.0
8400.0,8450.0,8450.0,8100.0
8450.0,8450.0,8100.0,8200.0
8450.0,8100.0,8200.0,8100.0
8100.0,8200.0,8100.0,8450.0
8200.0,8100.0,8450.0,8650.0
8100.0,8450.0,8650.0,8550.0
8450.0,8650.0,8550.0,8750.0
8650.0,8550.0,8750.0,8550.0
8550.0,8750.0,8550.0,8400.0
8750.0,8550.0,8400.0,8400.0
8550.0,8400.0,8400.0,8400.0
8400.0,8400.0,8400.0,8200.0
8400.0,8400.0,8200.0,8100.0
8400.0,8200.0,8100.0,8400.0
8200.0,8100.0,8400.0,8250.0
8100.0,8400.0,8250.0,8250.0
8400.0,8250.0,8250.0,8300.0
8250.0,8250.0,8300.0,8350.0
8250.0,8300.0,8350.0,8250.0
8300.0,8350.0,8250.0,8450.0
